example_id,pair_id,case_id,dataset,assigned_split,judgment_hash,chunk_index,total_chunks,input_tokens,target_tokens,total_tokens,alignment_mean_similarity,alignment_min_similarity,aligned_summary_sentences,target_truncated
IN-Abs:1:reference:chunk-0000,IN-Abs:1:reference,1,IN-Abs,train,15e668cd97a48d07fddaddc7af2fe1cc25bc624c0a9a36d8f29317d4bee6b146,0,2,2785,204,3059,0.7663117051124573,0.7136027812957764,3,False
IN-Abs:10:reference:chunk-0000,IN-Abs:10:reference,10,IN-Abs,train,7994ebb1c16bd8c6c910b0175ff8f338c875f4eedeb9575c3f4aabaab60b7295,0,2,2785,74,2929,0.5005908012390137,0.37804996967315674,5,False
IN-Abs:10:reference:chunk-0001,IN-Abs:10:reference,10,IN-Abs,train,7994ebb1c16bd8c6c910b0175ff8f338c875f4eedeb9575c3f4aabaab60b7295,1,2,708,111,889,0.643538216749827,0.614435613155365,3,False
IN-Abs:100:reference:chunk-0000,IN-Abs:100:reference,100,IN-Abs,train,f651aa7e3c0ed6412d7fba759949b5f18addeab1969f9d569e376497ebfbf18f,0,2,2748,215,3033,0.6471216423170907,0.5887731909751892,7,False
IN-Abs:100:reference:chunk-0001,IN-Abs:100:reference,100,IN-Abs,train,f651aa7e3c0ed6412d7fba759949b5f18addeab1969f9d569e376497ebfbf18f,1,2,1483,243,1796,0.6574710210164388,0.4201871156692505,3,False
IN-Abs:1000:reference:chunk-0000,IN-Abs:1000:reference,1000,IN-Abs,train,5797afd932cf1b8bab98288e96f7cf8cf57c938bf1007a6ba2881f40b7bbd235,0,2,2770,158,2998,0.6789157271385193,0.38260531425476074,5,False
IN-Abs:1000:reference:chunk-0001,IN-Abs:1000:reference,1000,IN-Abs,train,5797afd932cf1b8bab98288e96f7cf8cf57c938bf1007a6ba2881f40b7bbd235,1,2,1564,106,1740,0.583956316113472,0.31470125913619995,4,False
IN-Abs:1001:reference:chunk-0000,IN-Abs:1001:reference,1001,IN-Abs,train,f4c84caf6b4d546ba6d39c77a1747832c90050cea8ec0730bf25791fa97366d6,0,2,2736,275,3081,0.693016403251224,0.5419358611106873,9,False
IN-Abs:1001:reference:chunk-0001,IN-Abs:1001:reference,1001,IN-Abs,train,f4c84caf6b4d546ba6d39c77a1747832c90050cea8ec0730bf25791fa97366d6,1,2,762,27,859,0.7001287937164307,0.7001287937164307,1,False
IN-Abs:1003:reference:chunk-0000,IN-Abs:1003:reference,1003,IN-Abs,train,b093fb38c136e28833ae532e186ccf8f16ba70931b411a3f22ca605b06dcf7e7,0,2,2782,338,3190,0.539631014423711,0.23546169698238373,14,False
IN-Abs:1003:reference:chunk-0001,IN-Abs:1003:reference,1003,IN-Abs,train,b093fb38c136e28833ae532e186ccf8f16ba70931b411a3f22ca605b06dcf7e7,1,2,2657,345,3072,0.6411002959523883,0.21657061576843262,7,False
IN-Abs:1005:reference:chunk-0000,IN-Abs:1005:reference,1005,IN-Abs,train,aab5bf04fcb14c917fce4b50317fcc81e0e3b222ab26784efbdefe268d5a3b93,0,2,2734,231,3035,0.6819463521242142,0.5479204058647156,8,False
IN-Abs:1005:reference:chunk-0001,IN-Abs:1005:reference,1005,IN-Abs,train,aab5bf04fcb14c917fce4b50317fcc81e0e3b222ab26784efbdefe268d5a3b93,1,2,762,71,903,0.7381944954395294,0.7001287937164307,2,False
IN-Abs:1006:reference:chunk-0000,IN-Abs:1006:reference,1006,IN-Abs,train,be1fbed3138ab2c31a12645673a323e1e902b86df5c3d86b01267017fe1ba546,0,3,2795,266,3131,0.5726887219481998,0.27826157212257385,9,False
IN-Abs:1006:reference:chunk-0001,IN-Abs:1006:reference,1006,IN-Abs,train,be1fbed3138ab2c31a12645673a323e1e902b86df5c3d86b01267017fe1ba546,1,3,2787,271,3128,0.6044533210141319,0.4171431362628937,7,False
IN-Abs:1006:reference:chunk-0002,IN-Abs:1006:reference,1006,IN-Abs,train,be1fbed3138ab2c31a12645673a323e1e902b86df5c3d86b01267017fe1ba546,2,3,558,108,736,0.7365731000900269,0.7245311141014099,2,False
IN-Abs:1007:reference:chunk-0000,IN-Abs:1007:reference,1007,IN-Abs,train,7fa10daefa9c27d047c46f9fa0bedfcb69c3bc76747af9431163d0cb8d0b5319,0,2,2698,139,2907,0.7049861749013265,0.5830298662185669,3,False
IN-Abs:1007:reference:chunk-0001,IN-Abs:1007:reference,1007,IN-Abs,train,7fa10daefa9c27d047c46f9fa0bedfcb69c3bc76747af9431163d0cb8d0b5319,1,2,824,110,1004,0.7012462019920349,0.6798692941665649,3,False
IN-Abs:1008:reference:chunk-0000,IN-Abs:1008:reference,1008,IN-Abs,train,668c67d8a1602740414c0b4e3ac9391b8abe28a38187b20cf90aed6f62b33654,0,8,2794,642,3506,0.6346927620470524,0.23419903218746185,12,False
IN-Abs:1008:reference:chunk-0001,IN-Abs:1008:reference,1008,IN-Abs,train,668c67d8a1602740414c0b4e3ac9391b8abe28a38187b20cf90aed6f62b33654,1,8,2792,283,3145,0.67786945104599,0.6278037428855896,5,False
IN-Abs:1008:reference:chunk-0002,IN-Abs:1008:reference,1008,IN-Abs,train,668c67d8a1602740414c0b4e3ac9391b8abe28a38187b20cf90aed6f62b33654,2,8,2779,100,2949,0.4879855364561081,0.2798547148704529,4,False
IN-Abs:1008:reference:chunk-0003,IN-Abs:1008:reference,1008,IN-Abs,train,668c67d8a1602740414c0b4e3ac9391b8abe28a38187b20cf90aed6f62b33654,3,8,2784,233,3087,0.687073603272438,0.6098527312278748,4,False
IN-Abs:1008:reference:chunk-0004,IN-Abs:1008:reference,1008,IN-Abs,train,668c67d8a1602740414c0b4e3ac9391b8abe28a38187b20cf90aed6f62b33654,4,8,2791,433,3294,0.6774687796831131,0.38380399346351624,10,False
IN-Abs:1008:reference:chunk-0005,IN-Abs:1008:reference,1008,IN-Abs,train,668c67d8a1602740414c0b4e3ac9391b8abe28a38187b20cf90aed6f62b33654,5,8,2700,437,3207,0.6924299418926239,0.5778441429138184,10,False
IN-Abs:1008:reference:chunk-0006,IN-Abs:1008:reference,1008,IN-Abs,train,668c67d8a1602740414c0b4e3ac9391b8abe28a38187b20cf90aed6f62b33654,6,8,2798,45,2913,0.5958373546600342,0.5958373546600342,1,False
IN-Abs:1009:reference:chunk-0000,IN-Abs:1009:reference,1009,IN-Abs,train,b88e945102b547677fa3cf0de69c36a0f11354866a894fbca7430b7cc2de22a7,0,1,2194,311,2575,0.7131917141377926,0.4089018404483795,8,False
IN-Abs:1010:reference:chunk-0000,IN-Abs:1010:reference,1010,IN-Abs,train,1f364f17576e2a5e8b8e5049731fb2661ecd3f5bc3e709194a6f2f5882d15c08,0,2,2797,556,3423,0.7308530136942863,0.5826758146286011,8,False
IN-Abs:1010:reference:chunk-0001,IN-Abs:1010:reference,1010,IN-Abs,train,1f364f17576e2a5e8b8e5049731fb2661ecd3f5bc3e709194a6f2f5882d15c08,1,2,2409,80,2559,0.5900727311770121,0.5137580037117004,3,False
IN-Abs:1012:reference:chunk-0000,IN-Abs:1012:reference,1012,IN-Abs,train,8d9d5ab026fafdaffeffe96e263d4b40d5178246ae64929fe15d14099519ec53,0,2,2694,168,2932,0.6004299998283387,0.2634158730506897,5,False
IN-Abs:1012:reference:chunk-0001,IN-Abs:1012:reference,1012,IN-Abs,train,8d9d5ab026fafdaffeffe96e263d4b40d5178246ae64929fe15d14099519ec53,1,2,868,117,1055,0.5647858738899231,0.3323143720626831,5,False
IN-Abs:1013:reference:chunk-0000,IN-Abs:1013:reference,1013,IN-Abs,train,79217a77f9f2f35ab9ee11baaedc9a23f751f1970da63cb609a31a7df9ee8c67,0,3,2794,183,3047,0.5931863784790039,0.505224883556366,5,False
IN-Abs:1013:reference:chunk-0001,IN-Abs:1013:reference,1013,IN-Abs,train,79217a77f9f2f35ab9ee11baaedc9a23f751f1970da63cb609a31a7df9ee8c67,1,3,2796,147,3013,0.6253668516874313,0.4145577549934387,4,False
IN-Abs:1013:reference:chunk-0002,IN-Abs:1013:reference,1013,IN-Abs,train,79217a77f9f2f35ab9ee11baaedc9a23f751f1970da63cb609a31a7df9ee8c67,2,3,314,121,505,0.6582027872403463,0.5291684865951538,3,False
IN-Abs:1015:reference:chunk-0000,IN-Abs:1015:reference,1015,IN-Abs,train,52dbbd463604ebabf3f8540fbfdea5fbb7125da09f5b859123076da309f3c2ee,0,2,2715,331,3116,0.5609798431396484,0.30239206552505493,10,False
IN-Abs:1015:reference:chunk-0001,IN-Abs:1015:reference,1015,IN-Abs,train,52dbbd463604ebabf3f8540fbfdea5fbb7125da09f5b859123076da309f3c2ee,1,2,414,71,555,0.6649987101554871,0.6001834273338318,2,False
IN-Abs:1017:reference:chunk-0000,IN-Abs:1017:reference,1017,IN-Abs,train,0f691e7396fef85d1c432213bd2105f0da10e6357c6a08ae2a5485dda68a26ff,0,2,2794,142,3006,0.5559077163537344,0.24366849660873413,6,False
IN-Abs:1017:reference:chunk-0001,IN-Abs:1017:reference,1017,IN-Abs,train,0f691e7396fef85d1c432213bd2105f0da10e6357c6a08ae2a5485dda68a26ff,1,2,1725,179,1974,0.6253554693290165,0.45867058634757996,7,False
IN-Abs:1018:reference:chunk-0000,IN-Abs:1018:reference,1018,IN-Abs,train,dc46166522474bbd62eafc6ab2e492a2b99dc6c36efd3e5771c1d0c58346cb71,0,1,2559,389,3018,0.5935917390244347,0.3274618685245514,14,False
IN-Abs:1026:reference:chunk-0000,IN-Abs:1026:reference,1026,IN-Abs,train,32bddae383d30a9179a87935106e7977ab5c72cc409be752105bf44e7dddbea7,0,2,2794,486,3350,0.6226242240518332,0.42843666672706604,16,False
IN-Abs:1026:reference:chunk-0001,IN-Abs:1026:reference,1026,IN-Abs,train,32bddae383d30a9179a87935106e7977ab5c72cc409be752105bf44e7dddbea7,1,2,487,37,594,0.7091439366340637,0.6930798292160034,2,False
