pair_id,case_id,dataset,split,author,judgment_member,summary_member,judgment_hash,summary_hash,judgment_characters,judgment_words,judgment_sentences,judgment_approx_tokens,summary_characters,summary_words,summary_sentences,summary_approx_tokens,compression_ratio_words,combined_approx_tokens
IN-Abs:test:1181:nan,1181,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/1181.txt,dataset/IN-Abs/test-data/summary/1181.txt,a52eaf19e0dd9e4661e811cfe5a9a85ec4dd3077e6083759525b406c791f7db2,ac102bdf71ee582b829324012f7e7f673f38723e610e0b5a2665192490cf9fdd,20587,3508,146,4560,1936,320,17,416,0.09122006841505131,4976
IN-Abs:test:1195:nan,1195,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/1195.txt,dataset/IN-Abs/test-data/summary/1195.txt,85a7649833ffbc8df395ca8ea7a385a82bd3c370c047566e2bf2361df936471c,fa22c677e5dbb959243662ca482de7443fc365181aed97edf75081157c519363,25231,4384,185,5699,3049,535,22,696,0.12203467153284671,6395
IN-Abs:test:1329:nan,1329,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/1329.txt,dataset/IN-Abs/test-data/summary/1329.txt,00450b218f821cdf282b8309855443b7922d71340a847c528db458e6897e6131,51871a003d5b7a6ad741d6f376278c623a0fc58c5c7c5d887fb4efe5e46383fe,17017,3077,132,4000,1862,344,30,447,0.11179720506987326,4447
IN-Abs:test:1378:nan,1378,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/1378.txt,dataset/IN-Abs/test-data/summary/1378.txt,448ae66c60cd0cc42cd09d9d57456ad7771d6c420071354c8ca5706bff40b131,097fc61f94f90462e280686fdb1ed50295321067edfab9633ad349ef602da940,12835,2293,92,2981,1153,203,6,264,0.08853030963802878,3245
IN-Abs:test:1406:nan,1406,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/1406.txt,dataset/IN-Abs/test-data/summary/1406.txt,2fe086aab29de18067e092a5543324885cfb2f9fab581bf4ade001ee925864d4,909fb0aafca80f853aeb46222fc3d459cf6ef1ebde1f299d6c82f4ad6b226b99,12418,2164,99,2813,2452,412,19,536,0.19038817005545286,3349
IN-Abs:test:1522:nan,1522,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/1522.txt,dataset/IN-Abs/test-data/summary/1522.txt,828e08e0f704c59f5821cb4b45d885fa1a16aca4ba237357bd69f82ec6e2f87e,6754429be8875d04647f1ba01c99e20af33822722903dd7db4bf78dc5b47b2eb,18265,3188,112,4144,1565,272,12,354,0.08531994981179424,4498
IN-Abs:test:1531:nan,1531,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/1531.txt,dataset/IN-Abs/test-data/summary/1531.txt,963f5d33f39d868b4a56e02b42e0730de9f658879f1cef477c63ac17ab9dcdd7,0e8b0f04b4e368ee4d7044e92edbb5e28bca628f69c30a73ef12a7087dbc773f,17544,3148,131,4092,2765,511,15,664,0.16232528589580686,4756
IN-Abs:test:1697:nan,1697,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/1697.txt,dataset/IN-Abs/test-data/summary/1697.txt,bf19822571850d2bfb9517836d9c519ad6358f33be9d1232e63eec7dc4ba5580,32cf0652eab5526f9b50895e86ad35fe6168388da86b4a7a312b06562fa0867a,72095,12780,497,16614,7849,1386,65,1802,0.10845070422535211,18416
IN-Abs:test:1762:nan,1762,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/1762.txt,dataset/IN-Abs/test-data/summary/1762.txt,403ea3bb27b1fb445d9e0c4f74ddda338a54d085181b46cf8c542c316ac22368,58729201ca7f5f5315776932b4969f92dd2b9a0e74340f13fe15dc48c94fb6f1,27968,4984,172,6479,3141,559,25,727,0.11215890850722311,7206
IN-Abs:test:1778:nan,1778,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/1778.txt,dataset/IN-Abs/test-data/summary/1778.txt,f30f0969d5ac7369aba6288489eb046d8a38d690732f891f3820ec960fe4c75a,1fe0e230f11e7a216819b9b0e7bb64e728a75be5ff24ed830b5b26f86c4d701d,8872,1532,75,1992,2717,480,34,624,0.3133159268929504,2616
IN-Abs:test:1789:nan,1789,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/1789.txt,dataset/IN-Abs/test-data/summary/1789.txt,bf4bc1320b4eb1e7f0e022e7cfadd5007be2cca99d253f242b06ed792b95332f,53ee956c49ca3ce775793f587ece0c888445563ea5d6ca0acdfce46f77282ef0,12335,2146,93,2790,2031,343,13,446,0.1598322460391426,3236
