strategy,partition,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr_at_10,ndcg_at_10
bm25,test_in_abs,1.0,1.0,1.0,1.0,1.0,1.0
bm25,test_in_ext_expert,0.92,1.0,1.0,1.0,0.96,0.9704743802857166
bm25,test_uk_abs,0.96,1.0,1.0,1.0,0.98,0.9852371901428583
cross_encoder,test_in_abs,0.8,0.92,1.0,1.0,0.8733333333333333,0.9049285049315882
cross_encoder,test_in_ext_expert,0.92,1.0,1.0,1.0,0.96,0.9704743802857166
cross_encoder,test_uk_abs,0.92,1.0,1.0,1.0,0.9533333333333333,0.9652371901428584
dense,test_in_abs,0.6,0.72,0.84,0.88,0.6813333333333332,0.7284593102065772
dense,test_in_ext_expert,0.8,0.96,0.96,0.96,0.8733333333333333,0.895711570428575
dense,test_uk_abs,0.92,0.92,0.96,0.96,0.9279999999999999,0.9354741122893816
hybrid_rrf,test_in_abs,0.84,1.0,1.0,1.0,0.9133333333333333,0.9357115704285749
hybrid_rrf,test_in_ext_expert,0.84,1.0,1.0,1.0,0.92,0.9409487605714333
hybrid_rrf,test_uk_abs,0.96,1.0,1.0,1.0,0.98,0.9852371901428583
