pair_id,judgment_hash,chunk_index,target_tokens,target_preview,reason
IN-Abs:108:reference,b2d63c2bcb749960b579e314cf2b340aca3d7e9e20ac751867d384d41a81ec23,12,17,"When a. 33), A.K. 63) referred to.",target_too_short_in_tokens
IN-Abs:1085:reference,4b20c63a2719c0bffe165123bb98ee6a1b85ed9ef999e5b499ff7d6fd1519c0e,2,12,Indian Iron and Steel Co. N. and Railway Co.,target_too_short_in_tokens
IN-Abs:1112:reference,1f9b5fe10e73c8702f7830e1b6c31b38920a57f88fb5772796b923e8100fb22d,1,7,"Per Subba Rao, J.",target_too_short_in_tokens
IN-Abs:1112:reference,1f9b5fe10e73c8702f7830e1b6c31b38920a57f88fb5772796b923e8100fb22d,4,16,The High Court found the appellants guilty and convicted them for contempt of Court.,target_too_short_in_tokens
IN-Abs:113:reference,c16195c8d2fb6d57993a0dba4f3346248b8b6420686e9f956d2cb35e835f469e,0,21,Ramachandra Rao vs Ramachandra Rao [1922] 49 I.A.,target_too_few_words
IN-Abs:1145:reference,672096b6c7583f53d7f94044ca2ea0267a2633e7b09ac85a3b8b85cc945fbd2a,3,19,This agreement was registered and was made enforceable as an award (1) L.L.R.,target_too_short_in_tokens
IN-Abs:117:reference,22d330976f2321c3601e6052194eceb099651b9431a29d45a738dcfc60c9e178,0,11,75 of 1952) explained.,target_too_short_in_tokens
IN-Abs:1183:reference,5387ceb5df42e7650495e709e29b7c66b51c17b29c486bfe5962590ae0fe2648,1,7,1954 S.C.,target_too_short_in_tokens
IN-Abs:1201:reference,febb4eae7f5371f9f33756f75305e86d02bcce678558f9ba0312131de733ef3e,1,6,"26i, distinguished.",target_too_short_in_tokens
IN-Abs:1207:reference,43f5e6306f3b3d50d2061b16be4e8546f51fd0fd30bcaf7ef3a4f321ac44fff5,1,14,"Narendra Kumar vs The Union of India, ; , referred to.",target_too_short_in_tokens
IN-Abs:1210:reference,07c480e7b76469f62d7848ab5f299f409c09e683325d23dab02efe7d3ea6914b,0,19,"Nazir Ahmad vs The King Emperor, Lah. Amiruddin Ahmed vs Emperor, Cal.",target_too_short_in_tokens
IN-Abs:1216:reference,a837d636879c50450296bf027e43576c45e93e7f678439551e7d0d28cd4b7ba4,3,8,Pandit M. section M.,target_too_short_in_tokens
IN-Abs:1239:reference,b409a1bda014579bd8763a5d3cc6708edc45ba67312f6a7bf1d3e52f38723bc7,1,8,The appellant accepted a sum of Rs.,target_too_short_in_tokens
IN-Abs:1266:reference,6e19a2b57980f052d367aef280bc81a64ad90e87bfdd58be5c6c4d1550f6c7d9,2,7,(b) of the amended Act.,target_too_short_in_tokens
IN-Abs:131:reference,543bf4fce612857a2061cacda74c8199733babfad331dd1426fd91fec31ad985,1,18,"Commissioner of Income tax, Bombay vs Ahmedbhai Umarbhai & Co.",target_too_short_in_tokens
IN-Abs:131:reference,543bf4fce612857a2061cacda74c8199733babfad331dd1426fd91fec31ad985,2,8,"451 ; , referred to.",target_too_short_in_tokens
IN-Abs:1335:reference,a9816be43f8181ecd3cc62fa2cb419e4c4a54bb09b2cae1ea2407340c50e9dd1,1,19,"Vinayak Gopal v Laxman Kashinath I. R. , approved.",target_too_short_in_tokens
IN-Abs:1338:reference,e32a5b72de12549badef5956bed7935c58f67b7a2dc9a4a22595739a81718412,3,5,"1, referred to.",target_too_short_in_tokens
IN-Abs:1363:reference,bb12d2ae10b14da2302c1db581c576177164b7afa7d6d3fbb5196fd783e36e91,12,15,"Duffy 's case, [1949]1 All.",target_too_short_in_tokens
IN-Abs:1363:reference,bb12d2ae10b14da2302c1db581c576177164b7afa7d6d3fbb5196fd783e36e91,14,10,"33, In re Murugian I.",target_too_short_in_tokens
IN-Abs:1363:reference,bb12d2ae10b14da2302c1db581c576177164b7afa7d6d3fbb5196fd783e36e91,16,11,"235, Jan Muhammad vs Emperor, I.",target_too_short_in_tokens
IN-Abs:1373:reference,f6e2d87c53de253c72f98f99210dc6697202a06e9d55ca9a0428f38e795b2d80,10,21,"489, Atma Ram vs State of Punjab, [1959] Supp.",target_too_few_words
IN-Abs:1396:reference,beb62b25fc44ceb7a1368f0aa8d06e63ec36d5dda52b75ebeaeeb75d4d41ccbd,1,17,The rights were neither enlarged or curtailed by para 3 of the order.,target_too_short_in_tokens
IN-Abs:1401:reference,2b1cbb2b2f5c12b40a38a3f38d6fe3d97fe81ae2d55186c88bf516c528a4936c,7,18,The impugned Act dealt with matters arising out of the relationship between landlord and tenant.,target_too_short_in_tokens
IN-Abs:1414:reference,67b5ccf8131f3f5c8ae948b05690331e376ebaa1d7d45f4570a8bfaa7a41e5c8,1,17,They were convicted by the Magistrate and the conviction was confirmed by the High Court.,target_too_short_in_tokens
IN-Abs:1415:reference,4b78259b4034a4343c1c86be103636efbb7e9aee50de22d7691e2d66ff37b920,1,8,"Held, that the notification No.",target_too_short_in_tokens
IN-Abs:1416:reference,35e0bbf2f1f0d06cd96271157efe56a9d759cb6977c0874d8e72bb69ea99fcf2,4,14,"The appellants appealed by special leave. Per Daval, J.",target_too_short_in_tokens
IN-Abs:1429:reference,89ff1baa1dc106f208e9be9bd0660be6377010ef5fb62c9bbd73c30e372bc522,2,7,"Workmen, and Hony.",target_too_short_in_tokens
IN-Abs:1452:reference,a454e88e6ea5878f3c3143f68f32d592f510712a7af751a7e53a0db27b680886,8,21,"2,20,00,000 of the Bharat Instirance Company Ltd.",target_too_few_words
IN-Abs:1452:reference,a454e88e6ea5878f3c3143f68f32d592f510712a7af751a7e53a0db27b680886,13,4,"Co., L.",target_too_short_in_tokens
IN-Abs:1456:reference,8b7dd3b209414b5683523d268c96b26c88b78f2e2d4d5a429eb6a98bf65f3a8e,2,6,"Ltd. , referred to.",target_too_short_in_tokens
IN-Abs:15:reference,649425d5e97a05535130898d068a5e7547d6308be5b60f584c9aa55e11d949d3,7,12,Jatindra Nath Gupta vs Province of Bihar distinguished.,target_too_short_in_tokens
IN-Abs:15:reference,649425d5e97a05535130898d068a5e7547d6308be5b60f584c9aa55e11d949d3,8,7,Held by the Full Court.,target_too_short_in_tokens
IN-Abs:1506:reference,6f2ec3cef0f5b836e40d3259a9c3a1800ff2fdf06b71fdf5cbaad89e87987092,0,13,"Mohinder Singh vs The State, 1, referred to.",target_too_short_in_tokens
IN-Abs:1529:reference,8726dd25197844eb8fd610d497f6377785c44678093a56c85f6537a6ca3d6dc8,0,20,"488, and Kotamraju Venkatarayudu vs Emperor, , distinguished.",target_too_few_words
IN-Abs:1623:reference,595852768a775eb416ee6aa54916fb5627fb9c29d89668638d656f4e37601aa8,1,8,"The appeal therefore, must be dismissed.",target_too_short_in_tokens
IN-Abs:1641:reference,78fd55cf48913f92482057f4b5bfb45ea3deecb062c6a803f1919560e90660f6,2,16,The appellant filed an appeal before the High Court in which he did not succeed.,target_too_short_in_tokens
