case_id,dataset,split,filename,judgment_member,judgment_encoding,judgment_hash,summary_count,judgment_characters,judgment_words,judgment_sentences,judgment_approx_tokens
1181,IN-Abs,test,1181.txt,dataset/IN-Abs/test-data/judgement/1181.txt,utf-8,a52eaf19e0dd9e4661e811cfe5a9a85ec4dd3077e6083759525b406c791f7db2,1,20587,3508,146,4560
1195,IN-Abs,test,1195.txt,dataset/IN-Abs/test-data/judgement/1195.txt,utf-8,85a7649833ffbc8df395ca8ea7a385a82bd3c370c047566e2bf2361df936471c,1,25231,4384,185,5699
1329,IN-Abs,test,1329.txt,dataset/IN-Abs/test-data/judgement/1329.txt,utf-8,00450b218f821cdf282b8309855443b7922d71340a847c528db458e6897e6131,1,17017,3077,132,4000
1378,IN-Abs,test,1378.txt,dataset/IN-Abs/test-data/judgement/1378.txt,utf-8,448ae66c60cd0cc42cd09d9d57456ad7771d6c420071354c8ca5706bff40b131,1,12835,2293,92,2981
1406,IN-Abs,test,1406.txt,dataset/IN-Abs/test-data/judgement/1406.txt,utf-8,2fe086aab29de18067e092a5543324885cfb2f9fab581bf4ade001ee925864d4,1,12418,2164,99,2813
1522,IN-Abs,test,1522.txt,dataset/IN-Abs/test-data/judgement/1522.txt,utf-8,828e08e0f704c59f5821cb4b45d885fa1a16aca4ba237357bd69f82ec6e2f87e,1,18265,3188,112,4144
1531,IN-Abs,test,1531.txt,dataset/IN-Abs/test-data/judgement/1531.txt,utf-8,963f5d33f39d868b4a56e02b42e0730de9f658879f1cef477c63ac17ab9dcdd7,1,17544,3148,131,4092
1697,IN-Abs,test,1697.txt,dataset/IN-Abs/test-data/judgement/1697.txt,utf-8,bf19822571850d2bfb9517836d9c519ad6358f33be9d1232e63eec7dc4ba5580,1,72095,12780,497,16614
1762,IN-Abs,test,1762.txt,dataset/IN-Abs/test-data/judgement/1762.txt,utf-8,403ea3bb27b1fb445d9e0c4f74ddda338a54d085181b46cf8c542c316ac22368,1,27968,4984,172,6479
1778,IN-Abs,test,1778.txt,dataset/IN-Abs/test-data/judgement/1778.txt,utf-8,f30f0969d5ac7369aba6288489eb046d8a38d690732f891f3820ec960fe4c75a,1,8872,1532,75,1992
1789,IN-Abs,test,1789.txt,dataset/IN-Abs/test-data/judgement/1789.txt,utf-8,bf4bc1320b4eb1e7f0e022e7cfadd5007be2cca99d253f242b06ed792b95332f,1,12335,2146,93,2790
1974,IN-Abs,test,1974.txt,dataset/IN-Abs/test-data/judgement/1974.txt,utf-8,947b9561b0fab4fcecc8d292fa34f47257350a90e8248315bb7ea57208ff92fc,1,15924,2799,111,3639
2035,IN-Abs,test,2035.txt,dataset/IN-Abs/test-data/judgement/2035.txt,utf-8,a6597d0466b477b0cb758546ebc4d98bacdab6813347a42f0abf6cd445af20fd,1,25455,4739,236,6161
2052,IN-Abs,test,2052.txt,dataset/IN-Abs/test-data/judgement/2052.txt,utf-8,2bfbdcdb7e2f3862bb8cf57c3410a7e60d6b20bc06cb257811898edada1919b7,1,19538,3654,256,4750
2065,IN-Abs,test,2065.txt,dataset/IN-Abs/test-data/judgement/2065.txt,utf-8,744042bef130c74795c13ed4fdbda58bc57a28881e1ba7233d2beb653ec7acf7,1,31648,5535,242,7196
2122,IN-Abs,test,2122.txt,dataset/IN-Abs/test-data/judgement/2122.txt,utf-8,2957054ce0f53176f7efd976088721e2c15abd7dbd1a2d9acbc00a5f4ccbb96e,1,80229,13911,734,18084
2124,IN-Abs,test,2124.txt,dataset/IN-Abs/test-data/judgement/2124.txt,utf-8,89374db428170412735410e241021bfa812415e802c01557921da20a026f5281,1,14929,2642,139,3435
2207,IN-Abs,test,2207.txt,dataset/IN-Abs/test-data/judgement/2207.txt,utf-8,f8a3e334f7b95a2a2f0bc1fe9a751e988f9d6bce7ab4541c6cc56e30d6315396,1,12783,2318,100,3013
2248,IN-Abs,test,2248.txt,dataset/IN-Abs/test-data/judgement/2248.txt,utf-8,b69931e554e2d60cff0bd549206769faf2108bf0d0a1ac8744fcecf3330d3698,1,21867,3951,198,5136
