model_label,partition,case_key,rouge1_f1,rouge2_f1,rougeL_f1,bertscore_precision,bertscore_recall,bertscore_f1,citation_source_support,predicted_citation_count,number_source_support,predicted_number_count,latency_seconds,generated_tokens,peak_gpu_memory_gib,tokens_per_second
base,test_in_abs,IN-Abs::1181::a52eaf19e0dd9e4661e811cfe5a9a85ec4dd3077e6083759525b406c791f7db2,0.5,0.23917525773195877,0.27983539094650206,0.8398449,0.86505944,0.8522276,0.3333333333333333,12,1.0,15,27.86726651294157,890,6.39887809753418,31.93711157808333
base,test_in_abs,IN-Abs::1329::00450b218f821cdf282b8309855443b7922d71340a847c528db458e6897e6131,0.49284928492849284,0.22271223814773983,0.23102310231023104,0.8381421,0.84615964,0.8420832,0.6666666666666666,6,1.0,5,21.165543004870415,698,6.394828796386719,32.97812864235909
base,test_in_abs,IN-Abs::1378::448ae66c60cd0cc42cd09d9d57456ad7771d6c420071354c8ca5706bff40b131,0.389240506329114,0.13015873015873017,0.19936708860759494,0.8395674,0.85847735,0.84891677,0.5,2,1.0,4,16.918477891013026,547,6.3946075439453125,32.33151371676068
base,test_in_abs,IN-Abs::1789::bf4bc1320b4eb1e7f0e022e7cfadd5007be2cca99d253f242b06ed792b95332f,0.460431654676259,0.14801444043321302,0.23741007194244604,0.8826765,0.8459555,0.8639143,1.0,0,1.0,2,8.232388225384057,264,6.359481334686279,32.06845848036812
base,test_in_abs,IN-Abs::1974::947b9561b0fab4fcecc8d292fa34f47257350a90e8248315bb7ea57208ff92fc,0.5105485232067511,0.2177589852008457,0.2869198312236287,0.8691718,0.8390985,0.85378057,0.5,4,1.0,8,16.092213944066316,526,6.397830009460449,32.68661489514636
base,test_in_abs,IN-Abs::2052::2bfbdcdb7e2f3862bb8cf57c3410a7e60d6b20bc06cb257811898edada1919b7,0.5743776563448695,0.2759878419452888,0.25379477838494235,0.84061193,0.84814894,0.84432846,1.0,0,1.0,22,42.9209409635514,1400,6.399102210998535,32.61811061385826
base,test_in_abs,IN-Abs::2207::f8a3e334f7b95a2a2f0bc1fe9a751e988f9d6bce7ab4541c6cc56e30d6315396,0.46055045871559624,0.22610294117647056,0.24220183486238533,0.86442876,0.83404636,0.848962,0.4,10,1.0,9,14.867899688892066,480,6.399973392486572,32.284317895863396
base,test_in_abs,IN-Abs::232::13c9ef698ae2e842fcdef3b89b6e49687416c3d43b856cc58d771aff35d1367b,0.5102702702702703,0.22566690699351116,0.2018018018018018,0.82021433,0.82191867,0.820986,0.1774193548387097,62,1.0,11,138.35046944813803,4480,6.400613784790039,32.38153088941538
base,test_in_abs,IN-Abs::2609::b2bdf329c313874f13aedf074c29ae5777042a26d67c5bbedd439baf2b8fcb22,0.5825688073394495,0.2827586206896552,0.268348623853211,0.84978604,0.85837317,0.8540217,1.0,3,1.0,6,20.970837867818773,680,6.400599479675293,32.425981464646576
base,test_in_abs,IN-Abs::2627::4cbc33c4a572dac03c798f34e039e657a21d14dfb007ca8a7b4eccd49db0682e,0.6019553072625697,0.2853146853146853,0.25139664804469275,0.8571274,0.85140073,0.85422355,0.75,4,1.0,10,26.619687204714864,875,6.393960475921631,32.87040877944728
base,test_in_abs,IN-Abs::2727::ad90769c2671508ea7baac45c361c7b877226a3ac107ecde794bd1028f6a9ea7,0.46906474820143884,0.20202020202020202,0.2589928057553956,0.84079146,0.8259296,0.83303094,0.5,2,1.0,6,14.821756416000426,484,6.240220546722412,32.65469937675611
base,test_in_abs,IN-Abs::2913::2196905b2f646b73c94427698b03e4b7a0673b7ce68f997ccf50227aadc61dc2,0.6136919315403424,0.3137254901960785,0.2665036674816626,0.87868094,0.8552588,0.8668085,1.0,5,1.0,10,13.008155582938343,419,6.400825023651123,32.210561853178135
base,test_in_abs,IN-Abs::314::cffd3cd1ef480c9301e9a1eb5e6216fbc2f48fd4fff36b816cedc05cec4ce0ee,0.4020486555697823,0.14634146341463414,0.16645326504481434,0.81954664,0.82019216,0.81978494,0.42857142857142855,7,1.0,5,20.074699783232063,652,6.39973783493042,32.47869243576936
base,test_in_abs,IN-Abs::3210::3bc8d6f9b48465e3d4194992dc00708fb6a6f80c9ab277a1bb20ce97421f1852,0.5698924731182796,0.23339317773788149,0.25806451612903225,0.8568506,0.8391822,0.8478918,0.125,24,1.0,6,20.38227795623243,653,6.397177696228027,32.03763590125743
base,test_in_abs,IN-Abs::4480::60e720aa1e36a42340d0064a2d5cd551b7df965f74b7f7ea54287fa438befab4,0.5751281359589965,0.2807017543859649,0.24332344213649854,0.8434881,0.82259876,0.83287716,0.4878048780487805,41,0.9705882352941176,34,59.79702276363969,1943,6.400823593139648,32.49325652349142
base,test_in_abs,IN-Abs::4641::d2af8a30992d4c514c17f386564408f78bee2badaeb11b846e65f222cc5356be,0.5826589595375723,0.26070188970304664,0.26820809248554917,0.8516764,0.8387955,0.84513265,0.3333333333333333,9,1.0,24,44.44395600538701,1454,6.393549919128418,32.715359537835965
base,test_in_abs,IN-Abs::4782::2ffff77893a95657b99bb0697db5eb988d2656741082798acdb930db10958c19,0.5656565656565656,0.2647554806070826,0.2609427609427609,0.8677947,0.8359116,0.85151035,0.0,1,0.875,8,17.809736107010394,573,6.3984599113464355,32.17341326997269
base,test_in_abs,IN-Abs::5248::5e1749bcbf050f4209ab8096ce31e23e3066c8425145f4f0abc2eba63c9c784b,0.5097365406643757,0.2006880733944954,0.21764032073310424,0.8514224,0.8113173,0.8306724,0.6666666666666666,3,1.0,10,23.391256536357105,760,6.398037433624268,32.49077273034604
base,test_in_abs,IN-Abs::5538::381ec643fe8b2ca8982788e76fa9817e316454ead043d8d2b32e7e5c37c88503,0.534812076401725,0.24059222702035782,0.23536660505237217,0.8441968,0.8324553,0.8382125,0.8,10,1.0,16,33.693107506260276,1105,6.399545192718506,32.79602511566165
base,test_in_abs,IN-Abs::5994::e397048d6aca757b3dc182ee3146e38c1f5f08bd81a3316725e012e969c24ba6,0.5602766798418972,0.2542037586547973,0.26877470355731226,0.8507433,0.8123833,0.83105123,0.4166666666666667,12,1.0,10,33.16306801280007,1160,6.390336036682129,34.978669631901084
base,test_in_abs,IN-Abs::6778::5b1b2365b36ec8b07d7ba9d760cc0934954f4a9e24563e5ff66b0c2610848fd2,0.5889227642276422,0.30618726972430443,0.21760670731707316,0.83551586,0.81087905,0.8229803,0.3118279569892473,93,0.96875,32,194.87450375361368,6972,6.401900291442871,35.77687109245924
base,test_in_abs,IN-Abs::6881::628c6ac17d5a3f76de5f2f0de40c04afba79635a8603afd556f72c69a334813f,0.5634197617379118,0.2540350877192982,0.24106517168885777,0.84529555,0.81489515,0.8297818,0.5714285714285714,7,1.0,6,22.020883603952825,787,6.393967628479004,35.73880204601466
base,test_in_abs,IN-Abs::690::3fe5b52594ca43da973a136562269c11dceb1f0d4d9c29ceca36cd63c1feb85c,0.6251823043266893,0.2900243309002433,0.2605736509479825,0.8466541,0.8327788,0.8396139,0.5714285714285714,14,1.0,16,36.46463089203462,1307,6.40061616897583,35.84295159519914
base,test_in_abs,IN-Abs::7109::41e98b5ccb4b3b16cc78a61979984d92cb877f76f04635e02a72cfae1c967146,0.5849952516619183,0.291151284490961,0.2905982905982906,0.86802363,0.8456631,0.8566944,0.5,8,1.0,4,14.99281439743936,538,6.395243167877197,35.883856475398346
base,test_in_abs,IN-Abs::7130::c41f9524cf3b536d7e6fc52186a0a9cc6cfad940da81f4118bb3d0152ac5c2cf,0.5849056603773586,0.2859712230215827,0.2830188679245283,0.86280537,0.8323977,0.8472926,0.35294117647058826,17,1.0,9,29.818680529948324,1060,6.398045539855957,35.54818594120526
base,test_in_ext_expert,IN-Ext::1963_S_59::500b861382648634c74d1e808804710df96c13ad8c47a01224efaec29ff29871,0.6291384754172306,0.24993232879184332,0.20171402796571944,0.81449825,0.8158908,0.815157,0.6,40,1.0,54,235.31879641208798,7397,6.401899814605713,31.43395305764885
base,test_in_ext_expert,IN-Ext::1971_S_1::b0ff2f44ab92330653d2464772ed6277e8073e2679e4709b6a721b5428baf503,0.49445403007148137,0.23202776400594943,0.21543012077890064,0.8194299,0.8353955,0.82727623,0.38095238095238093,21,0.8780487804878049,41,122.51858250238001,3796,6.401456832885742,30.983055161663007
base,test_in_ext_expert,IN-Ext::1973_S_68::f6a5bbb51ff34c299146cb4c07394a46bf99610d0e904ede7f44a8289515b258,0.646852029402365,0.2641509433962264,0.24161073825503357,0.84606254,0.83121216,0.8385268,0.26666666666666666,15,1.0,22,59.39819687092677,1845,6.401467323303223,31.061548955925623
base,test_in_ext_expert,IN-Ext::1980_W_3::470a4b7fea211f81fdef931b0265dbdaa8ae36de4d14fddbb47349e46b4d1b37,0.6124197002141327,0.2481261307831481,0.2328693790149893,0.84165305,0.82705295,0.83425236,0.4,5,1.0,25,78.21156444167718,2411,6.401472091674805,30.82664331306014
base,test_in_ext_expert,IN-Ext::1987_M_123::4d25f52ac028188db168ddc11b70ed699de4a173595400b21c674355cf286d2e,0.593741027849555,0.25567365699511635,0.26586276198679304,0.8330668,0.82060325,0.82675594,0.25,32,0.9642857142857143,28,75.88169591967016,2355,6.401465892791748,31.035152436406385
base,test_in_ext_expert,IN-Ext::1989_A_55::2883df502e9733a0d3384a11fbe4df7b69af7c833b57530b418b6b068e5ec7c4,0.5408872260823089,0.24505082932049224,0.24692677712453232,0.8491323,0.84474796,0.84691775,0.25,4,1.0,9,37.84306072629988,1165,6.401472091674805,30.785036348562503
base,test_in_ext_expert,IN-Ext::1994_S_246::b44bd4db358c37e39c7e7e0aa03ffa1789597cbf8c236b6a349e4b1ea72386c2,0.6228397153507286,0.24618514750762968,0.225008471704507,0.83571124,0.8293412,0.832508,1.0,2,0.9615384615384616,26,64.05951723642647,1990,6.401468753814697,31.064861020657467
base,test_in_ext_expert,IN-Ext::1995_S_317::21e2890ec9b93df4d15ca56f130e3e73ed787986c00805ba753a64b8d1c17411,0.585206907787553,0.24406573341448567,0.26132290648419676,0.83868474,0.8211827,0.82982343,0.3333333333333333,15,1.0,23,64.23262216290459,1998,6.401468753814697,31.10568948801032
base,test_in_ext_expert,IN-Ext::1996_B_72::04deed9b3428da8cab87dbcf7c27c1ae88df95f6d1141bcf5646577d4a99bc85,0.6733831654208645,0.3583739837398374,0.31287929871881326,0.8555656,0.8514997,0.853518,0.26666666666666666,15,1.0,33,65.70938657457009,2040,6.401474475860596,31.0457927907288
base,test_in_ext_expert,IN-Ext::2000_V_80::2ea3381bf7b2dca0261810570b8a4c6aadc5cb547d84748594fcc7aca6f9dbe6,0.5110047846889952,0.24425287356321837,0.22296650717703348,0.8511591,0.81437975,0.83233553,0.375,8,1.0,7,28.920190997887403,903,6.3697614669799805,31.22386017664833
base,test_in_ext_expert,IN-Ext::2001_A_234::4e131d698d18349e7c8dbc9efdeb0d1315aa25b9534f4a0671f98e9d16a14765,0.6404416839199448,0.30738655183835706,0.29882677708764666,0.8471363,0.8367761,0.84187084,0.16666666666666666,6,1.0,22,53.83486207714304,1683,6.372349262237549,31.262270117611397
base,test_in_ext_expert,IN-Ext::2004_I_24::a9a182a027438684f1db5c52a52eeba572279194987e1fe444899f1c6ee291b4,0.592544146500981,0.2238219895287958,0.20863309352517984,0.83593,0.8249807,0.8304029,0.0,3,1.0,20,64.92819931451231,2020,6.355005264282227,31.111289413943492
base,test_in_ext_expert,IN-Ext::2007_B_76::7137424d936577bc7ef028727df71f80f24f161c5f309b46d08e3b3b0ad3ee6f,0.6175637393767706,0.29543307086614173,0.24803273528485992,0.8418992,0.83133554,0.8365669,0.0,1,0.75,8,64.6212116307579,2002,6.401473045349121,30.98053950828591
base,test_in_ext_expert,IN-Ext::2007_C_121::633756b0c46a77ea914ee2e8b7bb850657094b6e38992045f9302350ed5997d8,0.671090047393365,0.33760075865339023,0.26461237466373194,0.84377,0.82991624,0.8367709,0.058823529411764705,17,0.84,25,85.23621340747923,2640,6.401473522186279,30.9727508351321
base,test_in_ext_expert,IN-Ext::2007_S_608::9aea50284d6950b9462467b2380600f4f2bd7af1f5c34e6191fe4df8edb28bf7,0.601126472094214,0.22450025627883138,0.2549923195084486,0.8436384,0.83174926,0.8376338,0.5555555555555556,9,1.0,18,41.589388030115515,1295,6.399542331695557,31.13775079023213
