member_name,dataset,split,record_type,summary_kind,author,segment,filename,extension
dataset/IN-Abs/test-data/judgement/1181.txt,IN-Abs,test,judgment,,,,1181.txt,.txt
dataset/IN-Abs/test-data/judgement/1195.txt,IN-Abs,test,judgment,,,,1195.txt,.txt
dataset/IN-Abs/test-data/judgement/1329.txt,IN-Abs,test,judgment,,,,1329.txt,.txt
dataset/IN-Abs/test-data/judgement/1378.txt,IN-Abs,test,judgment,,,,1378.txt,.txt
dataset/IN-Abs/test-data/judgement/1406.txt,IN-Abs,test,judgment,,,,1406.txt,.txt
dataset/IN-Abs/test-data/judgement/1522.txt,IN-Abs,test,judgment,,,,1522.txt,.txt
dataset/IN-Abs/test-data/judgement/1531.txt,IN-Abs,test,judgment,,,,1531.txt,.txt
dataset/IN-Abs/test-data/judgement/1697.txt,IN-Abs,test,judgment,,,,1697.txt,.txt
dataset/IN-Abs/test-data/judgement/1762.txt,IN-Abs,test,judgment,,,,1762.txt,.txt
dataset/IN-Abs/test-data/judgement/1778.txt,IN-Abs,test,judgment,,,,1778.txt,.txt
dataset/IN-Abs/test-data/judgement/1789.txt,IN-Abs,test,judgment,,,,1789.txt,.txt
dataset/IN-Abs/test-data/judgement/1974.txt,IN-Abs,test,judgment,,,,1974.txt,.txt
dataset/IN-Abs/test-data/judgement/2035.txt,IN-Abs,test,judgment,,,,2035.txt,.txt
dataset/IN-Abs/test-data/judgement/2052.txt,IN-Abs,test,judgment,,,,2052.txt,.txt
dataset/IN-Abs/test-data/judgement/2065.txt,IN-Abs,test,judgment,,,,2065.txt,.txt
dataset/IN-Abs/test-data/judgement/2122.txt,IN-Abs,test,judgment,,,,2122.txt,.txt
dataset/IN-Abs/test-data/judgement/2124.txt,IN-Abs,test,judgment,,,,2124.txt,.txt
dataset/IN-Abs/test-data/judgement/2207.txt,IN-Abs,test,judgment,,,,2207.txt,.txt
dataset/IN-Abs/test-data/judgement/2248.txt,IN-Abs,test,judgment,,,,2248.txt,.txt
dataset/IN-Abs/test-data/judgement/2256.txt,IN-Abs,test,judgment,,,,2256.txt,.txt
dataset/IN-Abs/test-data/judgement/2304.txt,IN-Abs,test,judgment,,,,2304.txt,.txt
dataset/IN-Abs/test-data/judgement/232.txt,IN-Abs,test,judgment,,,,232.txt,.txt
dataset/IN-Abs/test-data/judgement/2392.txt,IN-Abs,test,judgment,,,,2392.txt,.txt
dataset/IN-Abs/test-data/judgement/2440.txt,IN-Abs,test,judgment,,,,2440.txt,.txt
dataset/IN-Abs/test-data/judgement/2593.txt,IN-Abs,test,judgment,,,,2593.txt,.txt
dataset/IN-Abs/test-data/judgement/2609.txt,IN-Abs,test,judgment,,,,2609.txt,.txt
dataset/IN-Abs/test-data/judgement/2627.txt,IN-Abs,test,judgment,,,,2627.txt,.txt
dataset/IN-Abs/test-data/judgement/2649.txt,IN-Abs,test,judgment,,,,2649.txt,.txt
dataset/IN-Abs/test-data/judgement/2657.txt,IN-Abs,test,judgment,,,,2657.txt,.txt
dataset/IN-Abs/test-data/judgement/266.txt,IN-Abs,test,judgment,,,,266.txt,.txt
dataset/IN-Abs/test-data/judgement/2727.txt,IN-Abs,test,judgment,,,,2727.txt,.txt
dataset/IN-Abs/test-data/judgement/2796.txt,IN-Abs,test,judgment,,,,2796.txt,.txt
dataset/IN-Abs/test-data/judgement/2913.txt,IN-Abs,test,judgment,,,,2913.txt,.txt
dataset/IN-Abs/test-data/judgement/3019.txt,IN-Abs,test,judgment,,,,3019.txt,.txt
dataset/IN-Abs/test-data/judgement/314.txt,IN-Abs,test,judgment,,,,314.txt,.txt
