gate,passed
training_examples_created,True
validation_examples_created,True
all_inputs_within_budget,True
all_targets_within_budget,True
all_targets_meet_minimum_length,True
all_examples_within_training_sequence,True
training_sequence_within_model_context,True
all_non_skipped_train_pairs_represented,True
all_non_skipped_validation_pairs_represented,True
skipped_pair_rate_at_most_1pct,True
semantic_match_rate_at_least_threshold,True
target_rejection_rate_within_limit,True
target_truncation_rate_within_limit,True
